Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	203.68	248.44	1288.01	927.37	314.27	41.60	449.55	273.33	68.33	105.64	455.44	419.00	23.59	12.11
3	187.46	435.01	1774.73	1247.63	415.29	108.79	635.05	351.18	98.43	181.63	582.59	519.67	41.01	21.61
9	36.98	45.59	398.67	285.85	86.11	25.04	82.31	31.11	19.59	30.29	144.76	87.00	36.19	21.42
14	139.19	288.24	1071.71	935.60	108.24	21.54	1100.72	375.34	421.57	283.98	633.00	566.53	58.68	8.04
21	55.95	129.53	683.34	610.22	65.40	5.74	398.15	172.00	120.24	100.33	376.79	337.98	26.41	11.53
35	115.70	193.86	777.29	678.58	87.83	9.25	467.41	143.49	159.85	157.52	572.76	489.14	58.99	23.43
56	300.00	116.38	726.88	618.58	98.86	8.07	585.38	260.50	165.66	151.61	584.19	515.26	47.38	21.67
76	349.71	241.71	379.38	314.89	56.91	4.51	443.96	110.55	96.34	230.86	365.19	326.12	30.57	8.22
92	401.15	78.77	273.59	227.90	42.68	2.43	210.00	57.54	55.86	94.29	466.35	420.65	24.58	20.33
98	370.29	82.76	260.17	205.53	50.99	3.17	278.88	67.77	87.29	120.20	300.93	270.23	17.91	12.64
120	461.34	66.49	435.26	378.24	47.44	8.62	461.96	147.36	84.08	224.05	408.85	346.30	26.13	36.26
148	595.27	188.67	538.20	473.62	48.33	14.48	485.41	118.92	93.68	265.52	464.38	386.36	43.79	33.99
168	572.43	43.91	220.11	181.59	36.10	2.25	220.11	52.61	71.31	93.77	471.86	370.88	66.06	35.44
182	674.08	152.56	425.66	365.22	50.23	8.90	468.22	156.38	96.92	209.76	339.15	258.43	58.33	22.45
189	686.54	160.59	289.29	236.64	45.42	6.45	454.60	77.74	106.38	266.40	418.01	325.63	38.50	53.92
210	382.93	189.98	348.29	289.08	49.46	8.43	465.58	111.74	114.07	236.98	591.62	427.74	97.62	66.26
238	378.32	278.88	250.98	197.02	45.93	8.11	421.01	90.94	96.41	229.87	492.10	353.82	83.16	55.12
266	669.73	132.42	268.23	192.05	70.54	4.91	467.39	80.39	186.49	194.90	708.61	576.81	47.76	84.32
300	473.27	391.74	381.36	318.82	50.34	11.36	746.79	174.75	125.46	432.39	590.99	497.62	73.28	19.80
