Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	295.54	51.87	1149.85	620.92	525.48	1.61	516.55	354.87	107.96	51.14	411.08	379.83	20.80	10.15
3	123.98	49.89	825.56	436.72	386.36	0.82	370.55	220.48	84.48	64.48	410.18	375.31	21.00	13.99
9	18.70	6.97	180.79	60.56	118.42	1.05	65.18	12.71	21.90	29.85	220.57	142.49	60.43	13.30
14	121.44	78.04	612.35	452.53	154.31	2.57	862.60	411.46	182.87	245.84	645.92	515.44	103.99	26.35
21	58.91	38.62	358.46	236.22	120.44	0.61	497.87	175.75	168.28	147.37	675.19	613.75	47.74	12.36
35	93.63	39.85	338.63	220.79	115.47	0.91	332.84	134.80	131.14	62.91	512.31	400.11	60.45	51.74
56	80.31	83.41	420.07	346.14	70.99	1.39	478.15	228.56	129.10	109.02	579.17	429.16	92.67	57.34
76	63.04	89.52	335.13	284.19	45.24	3.12	463.63	196.58	108.95	142.80	768.83	484.36	172.99	111.48
92	83.17	145.43	375.93	333.08	40.22	1.32	970.85	499.02	200.00	254.36	1116.73	795.11	240.10	81.19
98	99.46	138.55	538.21	455.86	80.73	0.65	941.40	417.04	259.83	260.77	1035.09	806.33	173.89	54.96
120	157.64	150.41	565.80	494.51	64.50	3.51	1316.92	583.39	288.41	412.20	935.91	671.05	204.03	60.65
148	198.22	84.86	428.10	373.30	49.66	2.48	1108.11	569.57	251.54	279.24	1068.70	775.88	201.99	87.85
168	238.70	39.66	276.51	233.93	40.37	1.16	514.41	298.87	85.91	114.20	932.63	723.72	149.22	58.94
182	158.24	18.60	177.76	154.83	21.15	0.98	278.98	117.45	31.80	118.29	577.73	352.99	162.92	61.82
189	303.20	61.19	418.13	374.23	37.55	3.93	732.72	451.35	68.88	183.18	1405.99	861.87	257.30	292.45
204	197.63	17.92	270.92	217.82	32.51	14.74	525.49	324.75	43.41	135.05	550.10	277.80	193.08	79.21
