Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	332.70	209.67	1168.22	800.23	286.21	77.34	735.32	395.60	72.87	258.83	243.87	224.60	13.95	5.15
3	281.11	127.70	1050.88	714.60	239.60	94.16	493.72	261.67	64.18	163.42	324.31	280.21	34.38	9.37
9	59.45	69.78	126.80	66.06	46.54	13.57	73.77	19.03	13.06	40.72	147.01	110.70	29.40	6.94
14	159.49	99.04	685.03	587.76	68.50	24.39	873.20	402.54	192.98	261.96	493.69	478.39	14.17	1.23
21	96.94	96.18	280.81	225.77	51.11	3.23	336.71	146.47	74.75	112.12	307.86	299.85	4.16	3.60
35	128.20	346.87	689.91	597.46	61.26	29.80	566.05	199.82	79.25	281.89	264.42	228.72	23.37	11.24
56	124.79	129.98	490.39	419.78	58.36	10.40	457.42	197.15	75.02	175.19	314.67	284.46	23.44	6.83
76	60.64	59.83	200.85	158.87	35.15	4.04	203.90	75.65	49.75	74.83	176.35	169.83	5.13	1.20
92	68.97	97.76	209.94	175.51	29.39	4.01	235.42	84.75	47.55	100.52	215.11	195.32	11.55	8.15
98	55.39	71.59	201.57	165.29	33.06	2.50	256.81	81.92	57.27	112.48	99.32	87.30	6.75	5.23
120	78.06	90.62	371.08	329.52	33.69	6.64	435.87	163.89	87.61	171.73	339.92	308.98	16.45	14.41
148	62.92	146.42	279.80	236.71	33.86	6.94	424.88	163.15	54.38	199.69	215.65	172.74	27.60	15.27
168	51.01	131.77	129.28	109.63	17.58	1.65	230.57	60.18	47.27	118.97	272.00	237.18	20.78	13.95
182	51.15	57.40	128.05	110.77	15.49	1.27	235.14	62.31	35.27	130.97	470.42	396.56	62.10	11.81
189	60.13	143.18	308.06	283.41	23.20	0.71	368.24	205.84	41.24	117.47	367.14	327.86	16.41	22.80
210	56.62	198.61	318.04	291.32	24.81	0.80	541.68	224.26	52.00	255.67	657.57	583.26	51.75	22.42
223	102.74	73.48	173.01	152.08	19.38	1.04	420.96	206.69	34.69	165.44	669.50	635.36	26.78	7.63
