Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	521.08	249.92	814.13	447.77	358.22	6.27	410.94	211.63	92.05	104.79	368.69	326.29	27.76	13.97
3	456.68	139.49	814.09	445.30	360.64	6.02	416.74	223.38	85.85	103.35	407.81	374.78	26.18	6.12
9	169.49	26.27	135.98	89.07	43.65	2.28	71.11	21.90	19.41	27.87	221.54	72.67	101.02	47.85
14	143.50	109.20	363.03	231.25	125.25	4.07	1020.62	200.04	248.01	546.03	436.26	369.95	54.53	11.95
21	52.40	34.73	145.49	112.02	32.59	0.39	188.66	47.17	46.03	91.88	349.74	278.39	49.31	19.06
35	249.86	228.04	362.06	298.34	61.19	1.23	570.82	191.23	126.72	242.03	621.80	478.78	100.73	40.73
56	268.46	171.75	321.17	263.04	56.85	0.71	484.35	218.44	80.40	175.33	481.64	381.94	69.84	29.81
76	325.27	234.15	315.56	261.28	46.39	3.79	332.54	160.61	74.82	90.45	310.19	279.17	26.21	3.60
92	169.56	50.83	151.52	122.13	28.18	0.64	143.45	60.25	41.74	38.59	253.34	215.08	23.41	14.01
98	289.10	265.69	221.42	182.67	36.98	0.89	316.23	137.25	78.43	94.55	264.43	203.61	34.38	25.62
120	257.54	231.42	287.25	243.87	41.94	0.55	385.99	218.09	71.41	88.78	325.16	252.00	66.01	7.28
148	310.26	280.42	291.84	232.01	56.32	1.55	507.24	123.77	178.04	190.22	404.37	312.98	82.49	8.98
168	196.26	163.44	113.59	80.20	32.83	0.23	178.70	70.05	56.11	48.79	451.14	350.53	67.67	33.02
182	186.89	196.20	160.86	119.52	40.05	0.42	291.81	128.39	68.87	89.88	322.53	238.35	69.02	15.22
189	209.12	125.22	104.54	73.18	30.84	0.28	159.39	54.51	53.23	47.98	259.56	212.32	30.63	16.64
210	201.22	267.29	136.17	97.91	37.72	0.20	284.60	97.90	84.81	100.18	417.60	274.36	103.98	39.25
238	238.90	158.04	87.80	59.00	28.71	0.18	197.01	50.04	64.03	80.18	310.60	198.16	77.65	34.79
266	171.30	127.44	17.74	8.90	8.50	0.23	76.25	6.98	27.83	40.19	371.85	299.71	46.85	25.62
